Last Updated,Preferred Lender,Lender,Product Type,Product Security,Product Name,Min Loan,Max Loan,Min Term,Max Term,Monthly Interest From,Monthly Interest To,Factor Rate,Fees,Commission,Min Trading Months,Min Monthly Turnover,Debt Consolidation Option?,StartUp Option?,Existing Lending Required,PG Required,Homeowner Required,Other Security,Key Underwriting Criteria,Adverse Credit,Product USP,Submission
,Yes,Got Capital,Term Loan,Unsecured,,"£2,000","£200,000",4,7,,,,,,3,"£7,000",,,No,No,No,,Larger amounts considered case-by-case; monthly sales requirement normally £7k to £10k depending on case; funding based on business health and sales revenue; solicitors and brokers excluded,"adverse credit, previous liquidations, CCJs and IVAs can be considered",Approval typically within 1 to 24 hours; same-day funding available; fixed repayment fee using factor rate; daily or weekly repayments available,
,No,IM Capital,Bridging,Secured,Bridging,"£1,000,000","£35,000,000",0,60,,,,,,0,£0,,,No,Case-by-case,Yes,Property security; legal charge and debenture case-by-case,Short and medium term Real Estate Finance; loans secured by commercial and residential property assets; acquisitions and refinance accepted; UK property assets preferred; simple and complex structures considered; non-residents and overseas-owned companies considered; experienced property investors preferred; up to 70% LTV; additional security can be considered as borrower contribution,,Principal lender; flexible term and pricing; loan structured around borrower requirements; suitable for residential and commercial property acquisition or refinance,mark@imcapital.co.uk
,No,IM Capital,Bridging,Secured,Bridging,"£3,000,000","£35,000,000",0,60,,,,,,0,£0,,,No,Case-by-case,Yes,Currently owned income-generating property security,Hunting Fund; secured on currently owned income-generating property; up to 70% LTV; no requirement for security over property being purchased; newly acquired property can be added to the security pot; tranche drawdowns available,,Speed-focused acquisition funding; allows property investors to acquire quickly without usual lender due diligence on the new property at acquisition stage; terms up to 5 years available,mark@imcapital.co.uk
,No,IM Capital,Term Loan,Secured,Term Loan,"£3,000,000","£35,000,000",0,60,,,,,,0,£0,,,No,Case-by-case,Yes,Operational property security; owner-occupied or OpCo/PropCo property structure; additional security can be considered for higher LTV,"Loans to Trading Businesses; refinance or purchase of new property accepted; UK based property assets required; up to 70% LTV; hotels, care homes, manufacturing and other trading sectors considered; owner-occupied and OpCo/PropCo structures accepted",,Suitable for trading businesses with operational property assets; can support property purchase or refinance; terms up to 5 years available,mark@imcapital.co.uk
,Yes,IWOCA,Term Loan,Unsecured,Term Loan,"£1,000","£1,000,000",12,12,1.59%,5.00%,,,5.00%,12,"£5,000",,,No,Yes,No,,,,IInstant decisions available up to £100k; no early repayment charges,https://www.iwoca.co.uk/introducer/portal
,Yes,IWOCA,Term Loan,Unsecured,Term Loan,"£1,000","£1,000,000",15,15,1.59%,5.00%,,,5.00%,12,"£5,000",,,No,Yes,No,,,,IInstant decisions available up to £100k; no early repayment charges; 3 months interest only followed by 12 monthly repayments,https://www.iwoca.co.uk/introducer/portal
,Yes,IWOCA,Term Loan,Unsecured,Term Loan,"£1,000","£1,000,000",24,24,1.50%,5.00%,,,5.00%,12,"£5,000",,,No,Yes,No,,typically 5%,,IInstant decisions available up to £100k; no early repayment charges,https://www.iwoca.co.uk/introducer/portal
,Yes,IWOCA,Term Loan,Unsecured,Term Loan,"£1,000","£1,000,000",36,60,1.50%,5.00%,,,5.00%,12,"£5,000",,,No,Yes,No,,typically 6%,,Instant decisions available up to £100k; no early repayment charges,https://www.iwoca.co.uk/introducer/portal
13/07/2026,Yes,Juice,Revolving Credit Facility,Unsecured,Capital Credit Line,"£50,000","£1,000,000",,,1.10%,2.60%,,6% arr fee,Up to 4%,12,"£20,000",No,No,No,No,No,Debenture ; PGs may be required,"Profitable in the last 12 months; in positive cash postion (min £5,000)",Light advers ok,Revolving Facility;  Max term 24 month = Capital & Interest; Max term 6 months - Interest Only; Early repayments allowed at no cost,https://next.getmejuice.com/partner/client-details
,Yes,Lending Crowd,Term Loan,Unsecured,,"£75,000","£350,000",6,60,,,,,,24,"£8,334",,,No,Yes,Not stated,,Limited Company and LLP owner-occupiers only; turnover must be over £100k; more than one key employee required; existing debt including HP but excluding leasing taken into affordability; refinancing existing debt can be considered,"risk bands A+ to C+; no active CCJs over £1,500; no failed business in last 2 years; PG asset coverage must be at least 50% of loan and may be higher depending on risk band","Fixed monthly capital and interest repayments; no early repayment charges; overpayments of at least £5k available; can support cash flow, working capital, expansion, stock purchase, debt restructuring, marketing, equipment purchase, acquisition funding and management buyouts",https://brokers.lendingcrowd.com/login
,Yes,Lending Crowd,Term Loan,Secured,,"£350,001","£500,000",6,60,,,,,,24,"£8,334",,,No,Yes,Case-by-case,Charge or asset security required,Limited Company and LLP owner-occupiers only; turnover must be over £100k; more than one key employee required; existing debt including HP but excluding leasing taken into affordability; refinancing existing debt can be considered; bilateral guarantees from associated companies may be requested,"risk bands A+ to C+; no active CCJs over £1,500; no failed business in last 2 years","Fixed monthly capital and interest repayments; no early repayment charges; overpayments of at least £5k available; can support cash flow, working capital, expansion, stock purchase, debt restructuring, marketing, equipment purchase, acquisition funding and management buyouts",https://brokers.lendingcrowd.com/login
13/07/2026,Yes,Liberty Finance,Term Loan,Secured,Term Loan,"£40,000","£250,000",12,60,1.25%,,,1% admin fee - min £500,5.00%,0,£0,Yes,Yes,No,Yes,Yes,70% LTV; 1st or 2nd charge on Commercial or residential property ,,No issue considering adverse credit; Require explanations and proof of how it has / is being handled,,proposals@libertyfinance.co.uk
,No,Little Business Loans,Term Loan,Secured,,"£3,000","£20,000",1,12,3.00%,,,,,6,"£5,000",,,No,Yes,No,Non-fixed business assets; such as vehicles; stock; machinery or office equipment,Ltd companies only,,Manual underwriting; flexible daily; weekly or monthly repayments,frank@littlebusinessloans.com
,Yes,Max Cap,Term Loan,Unsecured,,"£10,000","£100,000",6,12,,,,,,12,"£15,000",,,No,Yes,No,,Good end of day balances; No more than 3 existing lenders,,Weekly or Monthly Payments; Happy to lend with existing Debenture,https://brokerportal.maxcap.co.uk/BrokerLogin.php
,Yes,Max Cap,Term Loan,Unsecured,,"£100,001","£250,000",6,12,,,,,,12,"£15,000",,,No,Yes,Yes,,Good end of day balances; No more than 3 existing lenders,,Weekly or Monthly Payments; Happy to lend with existing Debenture,https://brokerportal.maxcap.co.uk/BrokerLogin.php
,Yes,Momenta Finance,Bridging,Secured,,"£200,000","£5,000,000",3,24,0.80%,,,,,0,£0,,,No,Case-by-case,Not stated,1st or 2nd charge property security; Primary residence excluded,Borrower can be Limited Company; partnership; LLP or sole proprietor; borrower must be UK domiciled; proven track record in similar UK property transactions required; clear exit required via sale or refinance; leverage up to 75% gross LTV or LTGDV; primary residence cannot be used as collateral; interest can be rolled up subject to LTV limits or serviced monthly where rental income exists; typical fees 2% upfront and 1% exit,,"Suitable for property purchases, equity release, light refurbishment, development exit and ground-up development where planning is in place; preliminary decision within 24 hours; credit-backed offer within 72 hours",https://merchantmoney.my.site.com/login?ec=302&startURL=%2Fs%2Fapplication-submission
,Yes,Momenta Finance,Term Loan,Unsecured,,"£50,000","£500,000",6,84,0.56%,,,,,60,"£41,667",,,No,Yes,Yes,,Tier 1 product; UK registered Limited Companies and LLPs only; company must generate more than 50% of income from trading activity; latest accounts should be profitable and balance sheet solvent; at least one PSC homeowner required up to £350k; two homeowners required from £350k to £500k; facility must support trading primarily in the UK; pricing is variable and linked to SONIA,any CCJs must be settled or in process of being settled,"No early repayment or overpayment fees; interest-only period up to 12 months may be available; suitable for working capital, expansion, refinance, assets, machinery, staffing, training and marketing",https://merchantmoney.my.site.com/login?ec=302&startURL=%2Fs%2Fapplication-submission
,Yes,Momenta Finance,Term Loan,Unsecured,,"£50,000","£500,000",6,72,0.93%,,,,,24,"£29,167",,,No,Yes,Yes,,Tier 2 product; UK registered Limited Companies and LLPs only; company must generate more than 50% of income from trading activity; latest accounts should be profitable and balance sheet solvent; at least one PSC homeowner required up to £350k; two homeowners required from £350k to £500k; facility must support trading primarily in the UK; pricing is variable and linked to SONIA,any CCJs must be settled or in process of being settled,"No early repayment or overpayment fees; interest-only period up to 12 months may be available; suitable for working capital, expansion, refinance, assets, machinery, staffing, training and marketing",https://merchantmoney.my.site.com/login?ec=302&startURL=%2Fs%2Fapplication-submission
,Yes,Momenta Finance,Term Loan,Secured,,"£50,000","£1,500,000",6,84,0.56%,,,,,60,"£41,667",,,No,Yes,Yes,1st or 2nd charge property security; Primary residence excluded,Tier 1 product; UK registered Limited Companies and LLPs only; company must generate more than 50% of income from trading activity; latest accounts should be profitable and balance sheet solvent; residential and mixed-use properties acceptable up to 75% LTV; commercial properties acceptable up to 65% LTV; primary residence cannot be taken as security; pricing is variable and linked to SONIA,any CCJs must be settled or in process of being settled,No early repayment or overpayment fees; interest-only period up to 12 months may be available,https://merchantmoney.my.site.com/login?ec=302&startURL=%2Fs%2Fapplication-submission
,Yes,Momenta Finance,Term Loan,Secured,,"£50,000","£1,500,000",6,72,0.93%,,,,,24,"£29,167",,,No,Yes,Yes,1st or 2nd charge property security; Primary residence excluded,Tier 2 product; UK registered Limited Companies and LLPs only; Company must generate more than 50% of income from trading activity; latest accounts should be profitable and balance sheet solvent; residential and mixed-use properties acceptable up to 75% LTV; commercial properties acceptable up to 65% LTV; primary residence cannot be taken as security; Pricing is variable and linked to SONIA,any CCJs must be settled or in process of being settled,No early repayment or overpayment fees; interest-only period up to 12 months may be available,https://merchantmoney.my.site.com/login?ec=302&startURL=%2Fs%2Fapplication-submission
,Yes,Momenta Finance,Term Loan,Unsecured,,"£50,000","£350,000",6,72,1.25%,,,,,24,"£29,167",,,No,Yes,Yes,,"GGS; UK trading activity required; turnover up to £45m on group basis; viable business proposition required; facility must support trading in the UK; previous CBILS, BBLS or RLS may reduce amount available",borrower must not be a business in difficulty or subject to relevant insolvency proceedings,GGS-backed unsecured route; interest-only period up to 12 months may be available,https://merchantmoney.my.site.com/login?ec=302&startURL=%2Fs%2Fapplication-submission
,Yes,Momenta Finance,Term Loan,Secured,,"£50,000","£1,500,000",6,72,1.25%,,,,,24,"£29,167",,,No,Yes,Yes,1st or 2nd charge property security; Primary residence excluded,"GGS; UK trading activity required; turnover up to £45m on group basis; viable business proposition required; facility must support trading in the UK; previous CBILS, BBLS or RLS may reduce amount available",borrower must not be a business in difficulty or subject to relevant insolvency proceedings,GGS-backed secured route; interest-only period up to 12 months may be available; higher loan availability than unsecured GGS route,https://merchantmoney.my.site.com/login?ec=302&startURL=%2Fs%2Fapplication-submission
,Yes,MT Finance,Bridging,Secured,,"£50,000","£10,000,000",1,24,0.89%,0.99%,,,1.00%,0,£0,,,No,No,Yes,1st and 2nd charge residential property security,"Non-regulated residential bridging only; loans below £125k subject to minimum interest rate of 1.05% per month; up to 70% LTV first charge; up to 65% LTV second charge; retained, part-retained and serviced interest options available; second charge on client’s main residence must be for business purposes only",,"can support property purchase, capital raise, light refurbishment, heavy refurbishment, BMV purchases, time-sensitive transactions, auction purchases, gifted deposits and tax bills",https://oms-mt-finance.azurewebsites.net/Account/Login?ReturnUrl=%2f
,Yes,MT Finance,Bridging,Secured,,"£50,000","£2,500,000",1,12,0.95%,0.99%,,"2 % facility Fee - minimum £2,000; £879 admin fee",,0,£0,,,No,No,Yes,1st and 2nd charge residential property security,Regulated bridging; loans subject to retained interest only; loans below £125k subject to minimum interest rate of 1.05% per month; up to 70% LTV first charge; up to 65% LTV second charge; borrowers aged 21 to 85 accepted; expats accepted; ICLs and arrears considered; first-time landlords accepted,,"can support property purchase, capital raise, light refurbishment, heavy refurbishment, BMV purchases, time-sensitive transactions, auction purchases, gifted deposits and tax bills",https://oms-mt-finance.azurewebsites.net/Account/Login?ReturnUrl=%2f
,Yes,Multifi,Term Loan,Unsecured,,"£10,000","£350,000",3,9,1.99%,5.25%,,,,12,"£100,000",,,No,Yes,No,,,,Revolving Credit Facility,
,Yes,My Cashline,Term Loan,Unsecured,,"£10,000","£25,000",3,24,3.00%,3.50%,,,,12,"£20,000",,,No,Yes,No,,Minimum £3k daily average bank balance; can consider strong D-rated companies; construction requires over 2 years trading; limited returned Direct Debits; overdraft utilisation below 80%; stable financials with flat or positive year-on-year trends; ideally 3 or more income sources,C+ rated on CreditSafe; company CCJs must be less than £500; clean personal credit with no defaults and maximum £500 CCJs,Same-day funding may be available; turnaround can be as little as 1 hour; no early repayment fees; flexible top-ups and drawdowns,brokers@mclfinance.com
,Yes,My Cashline,Term Loan,Unsecured,,"£25,001","£250,000",3,24,3.00%,3.50%,,,,12,"£20,000",,,No,Yes,yes,,Minimum £3k daily average bank balance; can consider strong D-rated companies; construction requires over 2 years trading; limited returned Direct Debits; overdraft utilisation below 80%; stable financials with flat or positive year-on-year trends; ideally 3 or more income sources,C+ rated on CreditSafe; company CCJs must be less than £500; clean personal credit with no defaults and maximum £500 CCJs,Decision in under 6 hours; same-day funding available; turnaround can be as little as 1 hour; no early repayment fees; flexible top-ups and drawdowns,brokers@mclfinance.com
,Yes,Nationwide Finance,Term Loan,Secured,,"£10,000","£500,000",12,60,,,,,,0,"£4,167",,,No,Case-by-case,Yes,"1st, 2nd or UN1 charge over property; third-party guarantor security accepted; Asset security and debentures may be required case-by-case","Secured Corporate Loans, Asset Finance and Refinance Agreements; Limited Companies, Sole Traders, Partnerships, PLCs, LLPs and SPVs considered; all industries and sectors considered; must own property in England or Wales including BTL or commercial property; minimum business turnover £50k; new starts considered with supporting background, investment and experience information; loss-making in last year can be accepted where there is a planned strategy to rectify; deals declined by other lenders can be considered",no hard credit searches,"Direct funder with flexible underwriting; no age restrictions; no full valuation or survey, internal or desktop valuations used; deals paid in 2 to 5 working days once documents are signed; early settlement available with 10% discount on outstanding interest",karl.kmiotek@nationwidefinance.co.uk
,Yes,Nucleus,Term Loan,Unsecured,,"£10,000","£350,000",3,24,1.99%,2.49%,,,,12,£0,,,No,Yes,Yes,Debenture required above £100k,NBL Short; at least 1 filed account at Companies House required; Open Banking essential; max lend 25% of annual turnover; legal/law and care homes restricted,loss-making or insolvent cases can be considered,Monthly repayments; early settlement available by paying capital plus next month’s interest; suitable where the client meets standard NBL criteria,https://www.myfundingportal.co.uk/mynucleus
,Yes,Nucleus,Term Loan,Unsecured,,"£25,000","£500,000",25,60,1.21%,,,,,24,£0,,,No,Yes,Yes,Debenture required above £100k,NBL Medium; at least 1 filed account at Companies House required; Open Banking essential; max lend 25% of annual turnover; legal/law and care homes restricted; construction and used car sales only considered for strong companies,loss-making or insolvent cases can be considered where MI is positive,"Monthly repayments; early settlement available by paying capital plus next month’s interest; longer-term NBL option with annual pricing from 14,5%",https://www.myfundingportal.co.uk/mynucleus
,Yes,Nucleus,Term Loan,Unsecured,,"£5,000","£250,000",24,48,3.89%,3.89%,,,,0,£0,,,No,Yes,Yes,Debenture required above £100k,Enable; higher-risk lending option offered where NBL criteria are not met; Open Banking essential; terms based on business assessment; offer terms cannot be changed once approved; strict offer validity and timelines apply; legal/law and care homes restricted,,Higher-risk alternative where standard NBL is not approved; monthly repayments; early settlement available by paying remaining balance plus next month’s interest,https://www.myfundingportal.co.uk/mynucleus
13/07/2026,Yes,One Stop Business Finance,Bridging,Secured,Bridging,"£100,000","£250,000",0,18,1.80%,,,4% arr fee; 1% exit fee below 65%; 1.5% exit fee above 65% LTV;,1.00%,0,£0,Yes,Yes,No,Case-by-case,Not stated,Property-backed security, 75% LTV,"adverse credit considered including CCJs, bankruptcy, winding-up petitions, previous repossessions, IVAs, DMPs and mortgage arrears",,Liam@osbf.co.uk
13/07/2026,Yes,One Stop Business Finance,Bridging,Secured,Bridging,"£250,000","£3,000,000",0,18,1.65%,,,4% arr fee; 1% exit fee below 65%; 1.5% exit fee above 65% LTV;,1.00%,0,£0,Yes,Yes,No,Case-by-case,Not stated,Property-backed security, 75% LTV,"adverse credit considered including CCJs, bankruptcy, winding-up petitions, previous repossessions, IVAs, DMPs and mortgage arrears",,Liam@osbf.co.uk
13/07/2026,Yes,One Stop Business Finance,Revolving Credit Facility,Secured,Revolving Credit Facility,"£100,000","£250,000",0,18,2.00%,,,4% arr fee; 1% exit fee below 65%; 1.5% exit fee above 65% LTV;,1.00%,0,£0,Yes,Yes,No,Case-by-case,Not stated,Property-backed security, 75% LTV,"adverse credit considered including CCJs, bankruptcy, winding-up petitions, previous repossessions, IVAs, DMPs and mortgage arrears",,Liam@osbf.co.uk
13/07/2026,Yes,One Stop Business Finance,Revolving Credit Facility,Secured,Revolving Credit Facility,"£250,000","£3,000,000",0,18,1.80%,,,4% arr fee; 1% exit fee below 65%; 1.5% exit fee above 65% LTV;,1.00%,0,£0,Yes,Yes,No,Case-by-case,Not stated,Property-backed security, 75% LTV,"adverse credit considered including CCJs, bankruptcy, winding-up petitions, previous repossessions, IVAs, DMPs and mortgage arrears",,Liam@osbf.co.uk
,Yes,Outfund,Term Loan,Unsecured,,"£10,000","£300,000",1,12,,,FR from 1.2,5% arr fee,,12,"£20,833",,,No,No,No,Optional PG for fee reduction,Higher exposure may be possible by working alongside other lenders; client does not need to be profitable; debt consolidation accepted; no overpayments; clients must have a website; director must live in same country as business registration; stronger appetite for Ecommerce and SaaS; limited appetite for construction and project based businesses; avoids high risk sectors such as crypto,Soft credit search,fixed risk-based fee agreed at the start; total repayment does not change; top-up may be available once 50% of facility has been repaid,https://portal.goviceversa.com/viceversa/login
14/07/2026,Yes,Playter,Invoice Finance,Unsecured,Playter Pay - IF Facility,"£30,000","£500,000",2,12,,,FR from 1.08 to% to 1.2%  depending on repayment term,,up to 8%,12,"£20,833",No,No,No,Yes,Case-by-case,PGs; Corporate guarantee may apply,Credit lines up to £500k; Break invoices up into payments from 2 to 12 instalments,No insolvency or disqualification history within 3 to 5 years; No active CCJs above 0.1% of turnover; No active third party default of £250 or more except utilities and telecoms excluded; No company liquidation event within last 3 years,"A revolving facility to pay supplier invoices and HMRC 
obligations; Draw and repay and redraw within the approved 
limit.",https://auth.playter.co/u/login?state=hKFo2SA4cHZ4TXgtS3NOMDRCTlNUbVluWTdQUm9MQndjS3Z0Q6Fur3VuaXZlcnNhbC1sb2dpbqN0aWTZIFQ5QkthZzRleFgzaWczdkNDMDZRcFIyTUlPT2U1amdlo2NpZNkgb1VEd01FVVNxRjdQNTdBOWxFR0Y5WldlQ2pEdWlJaHc
14/07/2026,Yes,Playter,Term Loan,Unsecured,Term Loan,"£30,000","£500,000",3,60,0.83%,4.50%,,2% arr fee,up to 8%,12,"£20,833",No,No,No,Yes,Yes,PGs; Corporate guarantee may apply,,No insolvency or disqualification history within 3 to 5 years; No active CCJs above 0.1% of turnover; No active third party default of £250 or more except utilities and telecoms excluded; No company liquidation event within last 3 years,,https://auth.playter.co/u/login?state=hKFo2SA4cHZ4TXgtS3NOMDRCTlNUbVluWTdQUm9MQndjS3Z0Q6Fur3VuaXZlcnNhbC1sb2dpbqN0aWTZIFQ5QkthZzRleFgzaWczdkNDMDZRcFIyTUlPT2U1amdlo2NpZNkgb1VEd01FVVNxRjdQNTdBOWxFR0Y5WldlQ2pEdWlJaHc
14/07/2026,Yes,Playter,Term Loan,Unsecured,Term Loan,"£30,000","£100,000",3,24,0.83%,4.50%,,2% arr fee,up to 8%,12,"£20,833",No,No,No,Yes,No,PGs; Corporate guarantee may apply,,No insolvency or disqualification history within 3 to 5 years; No active CCJs above 0.1% of turnover; No active third party default of £250 or more except utilities and telecoms excluded; No company liquidation event within last 3 years,,https://auth.playter.co/u/login?state=hKFo2SA4cHZ4TXgtS3NOMDRCTlNUbVluWTdQUm9MQndjS3Z0Q6Fur3VuaXZlcnNhbC1sb2dpbqN0aWTZIFQ5QkthZzRleFgzaWczdkNDMDZRcFIyTUlPT2U1amdlo2NpZNkgb1VEd01FVVNxRjdQNTdBOWxFR0Y5WldlQ2pEdWlJaHc
13/07/2026,Yes,Reward Funding,Revolving Credit Facility,Secured,Revolving Credit Facility,"£100,000","£749,999",3,12,1.25%,,,3% arr fee; ~£3k Reward Legal Fees; £1% reneral fee / exit fee,1.50% (50% of arrangeemnt fee),0,£0,Yes,Yes,No,Yes,No,"70% LTV Residential & Owner-Occupied; 80% LTV - BTL / Investment; 70% LTV Commercial & Semi-Commercial; 60% LTV Land with or without planning; Business debenture; Other Assets e.g. Plant & Machinery, Construction & Agricultural Equipment, Engineering Assets, HGVs, Specialist Vehicles, Buses & Coaches ",Reward proposal form required; Rewrd ALIE,,Pay only on drawn funds; No Non-Utilisation Fees;  Ability to renew at end of the term; Use of on/off balance sheet assets,Scott.Swinden@rewardfunding.co.uk
13/07/2026,Yes,Reward Funding,Revolving Credit Facility,Secured,Revolving Credit Facility,"£750,000","£1,249,999",3,24,1.10%,,,3% arr fee; ~£3k Reward Legal Fees; £1% reneral fee / exit fee,1.50% (50% of arrangeemnt fee),0,£0,Yes,Yes,No,Yes,No,"70% LTV Residential & Owner-Occupied; 80% LTV - BTL / Investment; 70% LTV Commercial & Semi-Commercial; 60% LTV Land with or without planning; Business debenture; Other Assets e.g. Plant & Machinery, Construction & Agricultural Equipment, Engineering Assets, HGVs, Specialist Vehicles, Buses & Coaches ",Reward proposal form required; Rewrd ALIE,,Pay only on drawn funds; No Non-Utilisation Fees;  Ability to renew at end of the term; Use of on/off balance sheet assets,Scott.Swinden@rewardfunding.co.uk
13/07/2026,Yes,Reward Funding,Revolving Credit Facility,Secured,Revolving Credit Facility,"£1,250,000","£5,000,000",3,24,0.99%,,,3% arr fee; ~£3k Reward Legal Fees; £1% reneral fee / exit fee,1.50% (50% of arrangeemnt fee),0,£0,Yes,Yes,No,Yes,No,"70% LTV Residential & Owner-Occupied; 80% LTV - BTL / Investment; 70% LTV Commercial & Semi-Commercial; 60% LTV Land with or without planning; Business debenture; Other Assets e.g. Plant & Machinery, Construction & Agricultural Equipment, Engineering Assets, HGVs, Specialist Vehicles, Buses & Coaches ",Reward proposal form required; Rewrd ALIE,,Pay only on drawn funds; No Non-Utilisation Fees;  Ability to renew at end of the term; Use of on/off balance sheet assets,Scott.Swinden@rewardfunding.co.uk
,No,Rivers Finance,Asset Finance,Unsecured,,"£5,000","£75,000",24,60,,,,document fee £200 plus VAT,Uup to 10%,6,,,,No,Yes,Yes,Asset security,Limited companies and LLPs only; business must be registered in England or Wales; trading company with 2 years filed accounts; minimum 6 months trading; finance lease and hire purchase available for all soft assets and some hard assets; director guarantee required from homeowner only; minimum Rivers yield 14%; early settlement is rentals outstanding less 3% discount,no CCJ on company or director credit record,Asset finance from £5k to £75k; available for soft assets and some hard assets; monthly repayments,Ian@riversleasing.com
,No,Rivers Finance,Asset Finance ,Unsecured,,"£5,000","£75,000",24,36,,,,document fee £200 plus VAT,Uup to 10%,6,,,,No,Yes,Yes,Asset security,Limited companies and LLPs only; business must be registered in England or Wales; new starts or businesses with less than 3 years filed accounts; minimum 6 months trading; maximum term 3 years for new starts; finance lease and hire purchase available for all soft assets and some hard assets; director guarantee required from homeowner only; minimum Rivers yield 17%; early settlement is rentals outstanding less 3% discount,no CCJ on company or director credit record,Asset finance for newer businesses from £5k to £75k; available for soft assets and some hard assets,Ian@riversleasing.com
,No,Rivers Finance,Term Loan,Unsecured,,"£10,000","£75,000",3,18,,,FR from 1.25,4% arr fee,Up to 8%,3,,,,No,Yes,Yes,,"Limited companies and LLPs only; business must be registered in England or Wales; minimum 3 months trading; client or acceptable third-party guarantor must be a UK homeowner and willing to give a personal guarantee; all business sectors considered; most lending purposes allowed including working capital, stock, refurbishment, expansion, marketing, additional staff, VAT, advertising and business growth; repayments every 14 days; existing facilities or charges with Nationwide Finance are a common decline reason; unpaid items over 8 are a common decline reason; active directorships or shareholdings with liquidated companies are a common decline reason",no unsatisfied CCJs permissible,"Fast short-term corporate loan; approvals and funding can be quick, with funding within 48 hours of successful application; no early repayment penalty; early settlement discount of 15% on remaining capital and interest repayments; renewals available once 50% of the original loan is repaid",Ian@riversleasing.com
,No,Rivers Finance,Term Loan,Unsecured ,,"£5,000","£75,000",24,60,,,,3% arr fee,Uup to 10%,6,,,,No,Yes,Yes,,Limited companies and LLPs only; business must be registered in England or Wales; trading company with 2 years filed accounts; minimum 6 months trading; director guarantee required from homeowner only; minimum Rivers yield 21%; early settlement is repayments outstanding less 3% discount; existing facilities or charges with Nationwide Finance are a common decline reason; unpaid items over 8 are a common decline reason,no CCJ on company or director credit record,Medium-term unsecured funding from £5k to £75k; monthly repayments; term up to 5 years for established trading companies; suitable where no additional property security is being taken,Ian@riversleasing.com
,No,Rivers Finance,Term Loan,Unsecured ,,"£5,000","£75,000",24,36,,,,3% arr fee,Uup to 10%,6,,,,No,Yes,Yes,,Limited companies and LLPs only; business must be registered in England or Wales; new starts or businesses with less than 3 years filed accounts; minimum 6 months trading; maximum term 3 years for new starts; director guarantee required from homeowner only; minimum Rivers yield 22.5%; early settlement is repayments outstanding less 3% discount; existing facilities or charges with Nationwide Finance are a common decline reason; unpaid items over 8 are a common decline reason,no CCJ on company or director credit record,Medium-term unsecured funding for newer businesses; monthly repayments; useful where the client is trading but lacks longer filed accounts,Ian@riversleasing.com
,No,Rivers Finance,Term Loan,Secured,,"£5,000","£250,000",24,60,,,,2.5% arr fee; legal fees,Up to 10%,6,,,,No,Yes,Yes,Second legal charge,"Limited companies and LLPs only; business must be registered in England or Wales; trading company with 2 years filed accounts; minimum 6 months trading; director guarantee required from homeowner only; second legal charge required; maximum loan up to £250k in £75k tranches; maximum drawdown £75k each, minimum 2 weeks apart; minimum Rivers yield 17.5%; early settlement is repayments outstanding less 3% discount",no CCJ on company or director credit record,Secured term funding up to £250k; monthly repayments; useful for larger facilities where second charge security is available,Ian@riversleasing.com
,No,Rivers Finance,Term Loan,Secured,,"£5,000","£250,000",24,36,,,,2.5% arr fee; legal fees,Up to 10%,6,,,,No,Yes,Yes,Second legal charge,"Limited companies and LLPs only; business must be registered in England or Wales; new starts or businesses with less than 3 years filed accounts; minimum 6 months trading; maximum term 3 years for new starts; director guarantee required from homeowner only; second legal charge required; maximum loan up to £250k in £75k tranches; maximum drawdown £75k each, minimum 2 weeks apart; minimum Rivers yield 20.5%; early settlement is repayments outstanding less 3% discount",no CCJ on company or director credit record,Secured term funding for newer businesses where homeowner security is available; larger loan size available than unsecured term product,Ian@riversleasing.com
,No,Rivers Finance,Term Loan,Secured,,"£5,000","£250,000",24,60,,,,2.5% arr fee; legal fees,Up to 10%,6,,,,No,Yes,Yes,Second legal charge,"Limited companies and LLPs only; business must be registered in England or Wales; trading company with 2 years filed accounts; minimum 6 months trading; director guarantee required from homeowner only; second legal charge required; interest only for 12 months then amortising over remaining term; maximum loan up to £250k in £75k tranches; maximum drawdown £75k each, minimum 2 weeks apart; minimum Rivers yield 18.5%; early settlement is repayments outstanding less 3% discount",no CCJ on company or director credit record,Low-start secured funding with 12 months interest only; useful where the client needs lower initial repayments; larger facilities available where second charge security is available,Ian@riversleasing.com
,No,Rivers Finance,Term Loan,Secured,,"£5,000","£250,000",24,36,,,,2.5% arr fee; legal fees,Up to 10%,6,,,,No,Yes,Yes,Second legal charge,"Limited companies and LLPs only; business must be registered in England or Wales; new starts or businesses with less than 3 years filed accounts; minimum 6 months trading; maximum term 3 years for new starts; director guarantee required from homeowner only; second legal charge required; interest only for 12 months then amortising over remaining term; maximum loan up to £250k in £75k tranches; maximum drawdown £75k each, minimum 2 weeks apart; minimum Rivers yield 21.5%; early settlement is repayments outstanding less 3% discount",no CCJ on company or director credit record,Low-start secured funding for newer businesses with homeowner security; 12 months interest only helps initial cash flow,Ian@riversleasing.com
,No,Swishfund,Asset Finance ,Secured,,"£150,001","£420,000",3,24,1.00%,3.00%,,,,12,"£4,167",,,No,Yes,Yes,Legal or equitable charge required,Ltd or LLP only; filed accounts required; avoid no profit before tax in each of previous 2 years; overdue accounts; 3+ new loans from different lenders in last 3 months; severe turnover decline; more than 10 DD reversals in 3 months or 20 in 6 months,insolvency issues,Secured route can reduce pricing; straight-line interest; no early settlement fees or extra interest; in-term bulk payments allowed; weekly or monthly repayments; interest and terms; fast payout after acceptance,support@swishfund.co.uk
